sLongitude, sLatitude
9.490352, 53.987011
9.490249, 53.987301
9.490142, 53.987591
9.490031, 53.987877
9.489916, 53.988167
9.489797, 53.988453
9.489677, 53.988743
9.489557, 53.989029
9.489435, 53.989319
9.489310, 53.989601
9.489184, 53.989891
9.489058, 53.990181
9.488928, 53.990471
9.488798, 53.990761
9.488665, 53.991047
9.488529, 53.991337
9.488392, 53.991623
9.488251, 53.991909
9.488109, 53.992195
9.487964, 53.992481
9.487816, 53.992767
9.487666, 53.993053
9.487514, 53.993340
9.487361, 53.993622
9.487206, 53.993904
9.487049, 53.994190
9.486891, 53.994473
9.486732, 53.994755
9.486569, 53.995037
9.486405, 53.995319
9.486239, 53.995598
9.486072, 53.995880
9.485906, 53.996159
9.485738, 53.996437
9.485569, 53.996719
9.485398, 53.996998
9.485226, 53.997276
9.485053, 53.997551
9.484877, 53.997829
9.484697, 53.998104
9.484515, 53.998379
9.484328, 53.998650
9.484138, 53.998924
9.483947, 53.999199
9.483751, 53.999470
9.483553, 53.999741
9.483353, 54.000011
9.483150, 54.000282
9.482944, 54.000553
9.482736, 54.000828
9.482524, 54.001099
9.482311, 54.001369
9.482097, 54.001644
9.481880, 54.001915
9.481663, 54.002186
9.481445, 54.002457
9.481226, 54.002728
9.481006, 54.002998
9.480784, 54.003269
9.480563, 54.003536
9.480340, 54.003807
9.480115, 54.004074
9.479888, 54.004337
9.479659, 54.004604
9.479429, 54.004868
9.479199, 54.005131
9.478966, 54.005390
9.478730, 54.005653
9.478493, 54.005913
9.478252, 54.006172
9.478011, 54.006432
9.477767, 54.006691
9.477522, 54.006947
9.477274, 54.007206
9.477024, 54.007465
9.476772, 54.007721
9.476520, 54.007980
9.476265, 54.008236
9.476008, 54.008492
9.475749, 54.008747
9.475489, 54.009003
9.475228, 54.009258
9.474965, 54.009510
9.474699, 54.009766
9.474431, 54.010017
9.474161, 54.010273
9.473890, 54.010525
9.473619, 54.010777
9.473346, 54.011024
9.473069, 54.011276
9.472789, 54.011524
9.472508, 54.011772
9.472228, 54.012020
9.471948, 54.012264
9.471665, 54.012512
9.471382, 54.012756
9.471096, 54.013004
9.470808, 54.013248
9.470519, 54.013493
9.470227, 54.013733
9.469934, 54.013977
9.469638, 54.014217
9.469339, 54.014458
9.469037, 54.014698
9.468733, 54.014935
9.468429, 54.015175
9.468122, 54.015411
9.467813, 54.015648
9.467505, 54.015884
9.467196, 54.016121
9.466885, 54.016354
9.466572, 54.016586
9.466254, 54.016819
9.465935, 54.017052
9.465611, 54.017281
9.465283, 54.017513
9.464953, 54.017742
9.464624, 54.017967
9.464293, 54.018192
9.463961, 54.018417
9.463629, 54.018642
9.463298, 54.018867
9.462965, 54.019093
9.462633, 54.019314
9.462300, 54.019539
9.461967, 54.019760
9.461633, 54.019981
9.461295, 54.020199
9.460957, 54.020416
9.460617, 54.020634
9.460277, 54.020851
9.459935, 54.021065
9.459594, 54.021282
9.459249, 54.021500
9.458903, 54.021713
9.458554, 54.021931
9.458202, 54.022144
9.457850, 54.022354
9.457495, 54.022568
9.457138, 54.022774
9.456779, 54.022984
9.456414, 54.023190
9.456048, 54.023396
9.455679, 54.023602
9.455309, 54.023808
9.454941, 54.024010
9.454574, 54.024212
9.454209, 54.024410
9.453844, 54.024609
9.453480, 54.024807
9.453116, 54.025002
9.452753, 54.025196
9.452390, 54.025391
9.452022, 54.025585
9.451652, 54.025780
9.451281, 54.025970
9.450907, 54.026161
9.450532, 54.026352
9.450155, 54.026539
9.449778, 54.026726
9.449400, 54.026917
9.449022, 54.027103
9.448645, 54.027290
9.448268, 54.027477
9.447892, 54.027664
9.447515, 54.027851
9.447139, 54.028034
9.446765, 54.028221
9.446392, 54.028400
9.446023, 54.028584
9.445661, 54.028759
9.445307, 54.028934
9.444964, 54.029102
9.444639, 54.029263
9.444339, 54.029419
9.444056, 54.029564
9.443785, 54.029697
9.443525, 54.029827
9.443277, 54.029945
9.443045, 54.030056
9.442822, 54.030163
9.442606, 54.030266
9.442396, 54.030361
9.442195, 54.030460
9.442004, 54.030556
9.441825, 54.030655
9.441666, 54.030762
9.441539, 54.030869
9.441455, 54.030975
9.441415, 54.031078
9.441419, 54.031174
9.441460, 54.031269
9.441534, 54.031353
9.441636, 54.031425
9.441755, 54.031487
9.441891, 54.031532
9.442038, 54.031559
9.442190, 54.031567
9.442345, 54.031551
9.442496, 54.031517
9.442645, 54.031467
9.442789, 54.031403
9.442927, 54.031322
9.443066, 54.031235
9.443205, 54.031151
9.443343, 54.031063
9.443480, 54.030979
9.443611, 54.030895
9.443721, 54.030819
9.443810, 54.030754
9.443885, 54.030697
9.443940, 54.030647
9.443969, 54.030609
9.443984, 54.030571
9.443974, 54.030525
9.443932, 54.030472
9.443857, 54.030415
9.443762, 54.030350
9.443653, 54.030273
9.443528, 54.030182
9.443389, 54.030075
9.443237, 54.029961
9.443074, 54.029839
9.442897, 54.029701
9.442704, 54.029560
9.442495, 54.029404
9.442274, 54.029240
9.442040, 54.029068
9.441798, 54.028885
9.441546, 54.028698
9.441293, 54.028503
9.441039, 54.028301
9.440780, 54.028099
9.440516, 54.027897
9.440247, 54.027695
9.439972, 54.027489
9.439696, 54.027290
9.439422, 54.027096
9.439142, 54.026901
9.438850, 54.026722
9.438543, 54.026550
9.438219, 54.026394
9.437879, 54.026253
9.437522, 54.026131
9.437157, 54.026016
9.436787, 54.025906
9.436416, 54.025799
9.436049, 54.025692
9.435692, 54.025589
9.435336, 54.025490
9.434978, 54.025402
9.434615, 54.025326
9.434248, 54.025261
9.433878, 54.025204
9.433504, 54.025150
9.433128, 54.025101
9.432755, 54.025051
9.432386, 54.025002
9.432026, 54.024952
9.431676, 54.024906
9.431335, 54.024860
9.431000, 54.024815
9.430670, 54.024776
9.430346, 54.024738
9.430028, 54.024704
9.429714, 54.024673
9.429398, 54.024651
9.429082, 54.024632
9.428771, 54.024620
9.428467, 54.024609
9.428173, 54.024601
9.427886, 54.024593
9.427611, 54.024586
9.427349, 54.024574
9.427098, 54.024570
9.426859, 54.024563
9.426634, 54.024559
9.426423, 54.024551
9.426225, 54.024548
9.426042, 54.024544
9.425868, 54.024544
9.425693, 54.024540
9.425505, 54.024536
9.425301, 54.024532
9.425079, 54.024529
9.424841, 54.024529
9.424590, 54.024525
9.424329, 54.024525
9.424060, 54.024525
9.423786, 54.024529
9.423505, 54.024532
9.423217, 54.024540
9.422922, 54.024548
9.422625, 54.024563
9.422326, 54.024582
9.422026, 54.024616
9.421723, 54.024658
9.421420, 54.024719
9.421121, 54.024792
9.420826, 54.024879
9.420534, 54.024979
9.420249, 54.025082
9.419974, 54.025192
9.419703, 54.025295
9.419436, 54.025398
9.419176, 54.025497
9.418921, 54.025597
9.418673, 54.025696
9.418428, 54.025791
9.418189, 54.025883
9.417954, 54.025970
9.417724, 54.026058
